Index, Title, Author, Rating, Score, Vote, Link, Author_Link, Image, Image_Small 
297, Go the Distance (Disney: a Twisted Tale 11) (Disney Twisted Tales), Jen Calonita, 4.06 avg rating - 8.408 ratings, 7, 1, https://www.goodreads.com/book/show/59049021-go-the-distance-disney, https://www.goodreads.com/author/show/114528.Jen_Calonita, https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1632260483i/59049021.jpg, https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1632260483i/59049021._SX50_.jpg
298, The Itsy Bitsy Liar (Once Upon A Rhyme #1), Abigail Manning, 4.40 avg rating - 130 ratings, 6, 1, https://www.goodreads.com/book/show/75607579-the-itsy-bitsy-liar, https://www.goodreads.com/author/show/21982455.Abigail_Manning, https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1672983261i/75607579.jpg, https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1672983261i/75607579._SX50_.jpg
299, What Once Was Mine, Liz Braswell, 3.98 avg rating - 7.620 ratings, 6, 1, https://www.goodreads.com/book/show/56623541-what-once-was-mine, https://www.goodreads.com/author/show/4788719.Liz_Braswell, https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1615490053i/56623541.jpg, https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1615490053i/56623541._SY75_.jpg
300, Forest of Scarlet (Court of Midsummer Mayhem #1), Tara Grayce, 4.35 avg rating - 175 ratings, 6, 1, https://www.goodreads.com/book/show/61673570-forest-of-scarlet, https://www.goodreads.com/author/show/19616128.Tara_Grayce, https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1658640648i/61673570.jpg, https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1658640648i/61673570._SX50_.jpg
301, Sole of Secrets: A Retelling of The Twelve Dancing Princesses (The Ruby Realm Book 3), Abigail Manning, 4.59 avg rating - 32 ratings, 5, 1, https://www.goodreads.com/book/show/104349583-sole-of-secrets, https://www.goodreads.com/author/show/21982455.Abigail_Manning, https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1675745403i/104349583.jpg, https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1675745403i/104349583._SX50_.jpg
302, Once Upon a Dream, Liz Braswell, 3.52 avg rating - 17.143 ratings, 5, 1, https://www.goodreads.com/book/show/26031261-once-upon-a-dream, https://www.goodreads.com/author/show/4788719.Liz_Braswell, https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1444928619i/26031261.jpg, https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1444928619i/26031261._SY75_.jpg
303, Night of Secrets (Court of Midsummer Mayhem #2), Tara Grayce, 0.00 avg rating - 0 ratings, 5, 1, https://www.goodreads.com/book/show/86545389-night-of-secrets, https://www.goodreads.com/author/show/19616128.Tara_Grayce, https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1674697012i/86545389.jpg, https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1674697012i/86545389._SX50_.jpg
304, The Soulless Slipper: A Retelling of Persephone and Cinderella (The Fairmyth Chronicles Book 1), Abigail Manning, 4.46 avg rating - 54 ratings, 4, 1, https://www.goodreads.com/book/show/123019219-the-soulless-slipper, https://www.goodreads.com/author/show/21982455.Abigail_Manning, https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1677482601i/123019219.jpg, https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1677482601i/123019219._SY75_.jpg
305, Part of Your World, Liz Braswell, 3.76 avg rating - 14.170 ratings, 4, 1, https://www.goodreads.com/book/show/37953790-part-of-your-world, https://www.goodreads.com/author/show/4788719.Liz_Braswell, https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1525436616i/37953790.jpg, https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1525436616i/37953790._SY75_.jpg
306, Grace by Contract (Once Upon a Duchy #1), Rachel Rossano, 4.43 avg rating - 261 ratings, 4, 1, https://www.goodreads.com/book/show/55846500-grace-by-contract, https://www.goodreads.com/author/show/1430209.Rachel_Rossano, https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1604441012i/55846500.jpg, https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1604441012i/55846500._SY75_.jpg
307, Enchanting the Elven Mage (Kingdom of Lore #1), Alisha Klapheke, 3.70 avg rating - 2.041 ratings, 3, 1, https://www.goodreads.com/book/show/55858988-enchanting-the-elven-mage, https://www.goodreads.com/author/show/16489167.Alisha_Klapheke, https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1604869033i/55858988.jpg, https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1604869033i/55858988._SY75_.jpg
308, As Old as Time, Liz Braswell, 3.89 avg rating - 30.294 ratings, 3, 1, https://www.goodreads.com/book/show/28450966-as-old-as-time, https://www.goodreads.com/author/show/4788719.Liz_Braswell, https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1459963718i/28450966.jpg, https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1459963718i/28450966._SY75_.jpg
309, Rumpled Rhett (Once Upon a Duchy #3), Rachel Rossano, 4.61 avg rating - 120 ratings, 3, 1, https://www.goodreads.com/book/show/58573592-rumpled-rhett, https://www.goodreads.com/author/show/1430209.Rachel_Rossano, https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1626530317i/58573592.jpg, https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1626530317i/58573592._SY75_.jpg
310, Enchanting the Fae Prince (Kingdoms of Lore #2), Alisha Klapheke, 4.16 avg rating - 650 ratings, 2, 1, https://www.goodreads.com/book/show/56880057-enchanting-the-fae-prince, https://www.goodreads.com/author/show/16489167.Alisha_Klapheke, https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1618325885i/56880057.jpg, https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1618325885i/56880057._SY75_.jpg
311, Straight On Till Morning, Liz Braswell, 3.63 avg rating - 8.638 ratings, 2, 1, https://www.goodreads.com/book/show/43982864-straight-on-till-morning, https://www.goodreads.com/author/show/4788719.Liz_Braswell, https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1560939198i/43982864.jpg, https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1560939198i/43982864._SY75_.jpg
312, Reclaiming Ryda (Once Upon a Duchy #2), Rachel Rossano, 4.32 avg rating - 99 ratings, 2, 1, https://www.goodreads.com/book/show/57433763-reclaiming-ryda, https://www.goodreads.com/author/show/1430209.Rachel_Rossano, https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1615914828i/57433763.jpg, https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1615914828i/57433763._SY75_.jpg
